album_id,album_name,genre,release_date,person_count,person_details
14379,"Empty Pockets, Full Regrets",Dream Pop,2025,14,236:Kimberly Castillo (PerformerOf); 5256:Dolores Tasso (PerformerOf); 5257:Renzo Dallapé (PerformerOf); 5258:Gianfranco Falier (PerformerOf); 6576:Arsenio Saraceno-Mercati (ComposerOf/PerformerOf); 14380:Hugo Visconti (PerformerOf); 14381:Maria Zola (PerformerOf); 14382:Giovanna Tirabassi (PerformerOf); 14383:Lorenzo Baresi (ProducerOf); 14384:Vanessa Villadicani (PerformerOf); 14385:Federigo Satta (PerformerOf); 14386:Carlo Altera (PerformerOf); 14387:Andrew Coleman (PerformerOf/ProducerOf); 14388:Emilio Missoni (PerformerOf)
14498,Whisper My Identity,Dream Pop,2026,13,1716:Kimberly Snyder (PerformerOf); 1718:Joshua Herring (ComposerOf); 1719:Gerald Mullins (PerformerOf); 8250:John Anderson (PerformerOf); 8613:Roy Tschentscher (PerformerOf); 10661:Angelina Sölzer (PerformerOf); 11848:Gregory Reeves (PerformerOf); 14499:Emily Perkins (PerformerOf); 14500:Kimberly Lee (PerformerOf); 14501:Kristina Serrano (PerformerOf); 14502:Melissa Johnson (PerformerOf); 14503:Joseph Rodriguez (PerformerOf); 14504:John Johnston (PerformerOf)
8245,Tanah Kita Bangkit,Space Rock,2019,12,1716:Kimberly Snyder (PerformerOf); 1718:Joshua Herring (PerformerOf); 1719:Gerald Mullins (PerformerOf); 1918:Kelly Stewart (PerformerOf); 3474:Fang Lin (PerformerOf); 6230:Thomas Weber (LyricistOf); 6234:Mike Robinson (PerformerOf); 8246:Sheri Brooks (PerformerOf); 8247:Juan Watkins (ProducerOf); 8248:Rachel Jackson (PerformerOf); 8249:David Stewart (PerformerOf); 8250:John Anderson (PerformerOf)
3467,Breathless Longing,Doom Metal,2016,11,3468:Qiang Feng (LyricistOf/PerformerOf); 3469:Juan Qiu (PerformerOf); 3470:Yang Fan (PerformerOf); 3471:Li Jiang (PerformerOf); 3472:Lei Dai (PerformerOf); 3473:Ming Qian (PerformerOf); 3474:Fang Lin (PerformerOf); 3475:Juan Duan (LyricistOf/PerformerOf); 3476:Yong Qin (PerformerOf); 3477:Qiang Mo (PerformerOf); 3478:Tao Bai (PerformerOf)
9360,Lost Between Coordinates,Dream Pop,2023,11,8271:Kathryn Golden (PerformerOf); 9361:Sara Johnson (PerformerOf); 9362:Daisy Rose (ComposerOf/PerformerOf); 9363:Stephanie Andersen (PerformerOf); 9364:Tiffany Simmons (PerformerOf); 9365:Mark West (PerformerOf); 9366:Joann Cunningham (PerformerOf); 9367:Karen Anderson (PerformerOf); 9368:Tammy Chen (PerformerOf); 9369:Amy Mack (LyricistOf); 9370:James Jackson (PerformerOf)
10883,Amplified Altar,Dream Pop,2026,10,8129:Juan Fu (PerformerOf); 8371:Daniel Rogers (LyricistOf); 10884:Yang Lei (ComposerOf/PerformerOf); 10885:Ping Du (ComposerOf/PerformerOf); 10886:Xiulan Jia (PerformerOf); 10887:Jing Li (PerformerOf); 10888:Wei Wu (PerformerOf); 10889:Guiying Zeng (PerformerOf); 10890:Jun Fu (PerformerOf); 10891:Wei Fan (PerformerOf/ProducerOf)
810,Silence Between Heartbeats,Space Rock,2028,10,811:Jun Jiang (PerformerOf/ProducerOf); 812:Xia Lu (LyricistOf/PerformerOf); 813:Xia Du (LyricistOf); 814:Juan He (ComposerOf); 815:Yan Xiong (PerformerOf); 816:Ping Ren (PerformerOf); 817:Jing Tian (PerformerOf); 818:Lei Fu (PerformerOf); 819:Juan Xiao (PerformerOf); 820:Chao Qiu (PerformerOf)
9105,Whispers in the Wind,Indie Rock,2028,10,4403:Mariah Ramirez (PerformerOf); 5297:Anthony Gutierrez (ComposerOf/PerformerOf); 9106:Peter Garcia (PerformerOf); 9107:John Guzman II (PerformerOf); 9108:Karina Hess (PerformerOf); 9109:Sosimo Vila Bayona (PerformerOf); 9110:Travis Thompson (PerformerOf); 9111:Jordan Thomas (LyricistOf); 9112:Elizabeth Stone (PerformerOf); 9113:Michelle Hensley (LyricistOf)
11479,Childhood Memories Never Fade,Dream Pop,2023,9,1716:Kimberly Snyder (PerformerOf/ProducerOf); 1719:Gerald Mullins (PerformerOf/ProducerOf); 1919:Tina Hobbs (PerformerOf); 8612:Cody Turner (LyricistOf); 11480:Hubert Oderwald (PerformerOf); 11481:Gudula Mitschke-Reuter (ComposerOf); 11482:Annelise Berger (PerformerOf); 11483:Alfonso Bähr (PerformerOf); 11484:Lilo Christoph (PerformerOf)
8190,Echoes of the Unheard,Indie Rock,2013,9,8191:David Armstrong (PerformerOf); 8192:Ryan Reynolds (PerformerOf); 8193:Brian Moore (PerformerOf); 8194:Pamela Chan (PerformerOf); 8195:Kimberly Brown (PerformerOf); 8196:Amy Lee (PerformerOf); 8197:Gary Chapman (PerformerOf); 8198:Robert Rodriguez (PerformerOf); 8199:Samuel Robertson (PerformerOf)
