idx,x,y,class
0,13.567395,5.01197,1
1,8.934541,5.0283446,1
2,11.34014,8.5521345,1
3,14.019716,7.195169,1
4,7.71081,10.356475,1
5,13.519761,7.9988146,1
6,10.420974,6.516756,1
7,9.447161,9.689423,1
8,10.767603,5.8583994,1
9,11.644412,6.056059,1
10,12.702525,8.7415285,1
11,9.53666,6.776319,1
12,10.037845,7.1583095,1
13,15.298444,8.272302,1
14,14.82345,8.315873,1
15,10.263865,9.55379,1
16,10.994323,10.183725,1
17,10.60832,10.271828,1
18,13.695091,8.88271,1
19,12.243552,3.6947725,1
20,13.255598,4.8348546,1
21,7.43294,3.4976895,1
22,9.319078,6.039404,1
23,7.60138,6.8765354,1
24,7.387176,7.1701884,1
25,7.375429,10.940924,1
26,9.477975,8.031408,1
27,8.23015,5.645804,1
28,8.416048,9.693287,1
29,10.118697,5.8020396,1
30,11.603146,9.529212,1
31,12.437946,8.610026,1
32,8.84409,7.4308095,1
33,9.796742,10.914514,1
34,8.554517,8.553297,1
35,8.266731,6.867098,1
36,8.249554,8.989915,1
37,8.206249,7.8889265,1
38,7.9263697,5.4815354,1
39,12.717567,3.4000368,1
40,12.867545,5.1988792,1
41,8.299296,2.966101,1
42,12.405133,6.4247684,1
43,8.108995,2.8754656,1
44,11.448215,4.922612,1
45,9.372696,3.1165605,1
46,10.8391285,4.383561,1
47,11.651574,5.4792485,1
48,11.455109,7.838686,1
49,12.915041,7.987656,1
50,11.099555,3.1693563,1
51,10.669996,7.6230707,1
52,13.766707,6.828305,1
53,10.308843,9.754341,1
54,12.138826,5.1201177,1
55,11.858166,8.009939,1
56,12.755799,5.5252557,1
57,10.111042,8.735874,1
58,13.011581,7.0903788,1
59,-2.7424994,6.109516,2
60,-6.8134484,-0.30839515,2
61,-7.0726933,-0.9910006,2
62,-1.5556992,5.9770465,2
63,2.657136,5.9734373,2
64,-3.9366322,1.2409768,2
65,4.9421043,5.2844973,2
66,1.6890935,6.7952685,2
67,-0.5601031,4.6908445,2
68,-6.9398136,-0.30013192,2
69,2.9584024,10.606096,2
70,-4.929321,-1.4428986,2
71,5.8516607,7.563795,2
72,-1.6224241,3.1165059,2
73,8.085065,11.755207,2
74,3.4271054,5.189289,2
75,-2.2369266,4.9192843,2
76,-1.0891393,5.9279556,2
77,-4.977041,-0.54368573,2
78,2.9900477,10.611786,2
79,2.5722957,0.020461408,2
80,0.27180237,5.208738,2
81,1.1962885,4.657537,2
82,-2.2885385,1.3821633,2
83,-6.044036,-6.603655,2
84,3.7272956,3.3838236,2
85,0.5515419,4.7123885,2
86,-2.8009434,1.089316,2
87,-2.4732342,1.5468922,2
88,-1.7811519,0.30959913,2
89,-1.4812939,1.5692348,2
90,-2.8280625,-0.15008408,2
91,-2.4113722,-0.044707168,2
92,-2.928498,-0.8299067,2
93,1.7344953,3.7479813,2
94,2.3233445,4.7677326,2
95,3.1039922,10.680088,2
96,-10.793164,-1.1276923,2
97,0.74652475,5.442298,2
98,2.7928078,6.1356287,2
99,3.0238943,0.8774735,2
100,-0.3874799,5.787682,2
101,-1.3244267,4.5277276,2
102,1.543066,1.778886,2
103,0.117641576,3.1872892,2
104,-0.15070479,4.0348563,2
105,-1.9460436,-1.3777189,2
106,-0.6819896,3.5230873,2
107,-2.5535436,-0.7047456,2
108,0.57067925,3.222714,2
109,3.7946944,3.344985,2
110,4.8920717,1.4833593,2
111,0.83761895,2.4782608,2
112,-4.385456,0.7691707,2
113,-1.4481646,0.8471976,2
114,-0.48641172,1.0608276,2
115,-3.333031,2.6277957,2
116,-0.2795193,3.4582393,2
117,-0.33831874,2.3528304,2
118,-6.311699,-3.242917,2
119,0.91210073,1.009941,2
120,2.931604,2.6482522,2
121,6.6086197,11.233616,2
122,2.0278132,-0.5846524,2
123,4.5879416,0.2466636,2
124,4.6225524,1.1802816,2
125,0.9668012,2.2199388,2
126,1.6744488,2.2146337,2
127,-0.64843845,-0.819959,2
128,-0.00199606,1.547465,2
129,0.78659624,-0.54984635,2
130,-10.650229,-2.0743837,3
131,-10.508903,-3.265494,3
132,-10.575415,-3.4740732,3
133,-10.841417,-3.0973837,3
134,-7.5307207,-2.3302426,3
135,-7.86651,-3.1948032,3
136,-6.779209,-7.3109727,3
137,-6.5463123,-7.8225946,3
138,-7.8376837,-5.8924456,3
139,-6.206215,-5.3633175,3
140,-6.717883,-5.00985,3
141,-8.33833,-4.4597645,3
142,-6.5134225,-5.2172637,3
143,-7.324774,-6.5037785,3
144,-10.950868,-4.545263,3
145,-8.841293,-4.839284,3
146,-7.819675,-7.4673076,3
147,-8.9151535,-6.9776545,3
148,-9.955721,-6.684195,3
149,-11.772599,-5.2604947,3
150,-12.885943,-5.1189795,3
151,-12.386475,-4.910722,3
152,-13.371589,-5.0827036,3
153,-10.97859,-7.8624597,3
154,-8.3794985,-2.8705387,3
155,-8.977778,-8.056615,3
156,-9.968467,-7.55371,3
157,-7.621805,-8.839525,3
158,-12.219188,-9.121356,3
159,-12.131474,-9.018317,3
160,-9.094454,-6.5715256,3
161,-7.3121085,-5.260675,3
162,-6.6690197,-5.500068,3
163,-9.1166525,-4.386557,3
164,-10.400795,-6.192865,3
165,-8.076553,-6.7747016,3
166,-11.945932,-6.8584323,3
167,-10.106281,-5.7419186,3
168,-12.162391,-6.850328,3
169,-13.097223,-6.224053,3
170,-9.012923,-4.003683,3
171,-9.811495,-5.4354444,3
172,-10.762548,-6.963488,3
173,-8.77083,-7.7674623,3
174,-10.14511,-6.8934827,3
175,-11.520499,-5.8304963,3
176,-11.463172,-6.3263025,3
177,-10.204905,-8.423659,3
