Country.of.Origin,Aroma,Flavor,Aftertaste,Acidity,Balance,Sweetness,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Brazil,7.58,7.61,7.46,7.53,7.55,9.94,1,11000,1015.97
Burundi,7.42,7.46,7.25,7.42,7.42,10,1700,1880,1790
China,7.65,7.64,7.5,7.6,7.56,9.92,1100,1850,1447.65
Colombia,7.55,7.55,7.38,7.51,7.91,10,900,5900,1725
Costa Rica,7.65,7.51,7.52,7.55,7.62,9.98,13,1900,1364.46
Cote d?Ivoire,7.42,7.25,6.83,7,7.08,10,200,200,200
Ecuador,7.5,7.67,7.58,7.75,7.83,10,800,800,800
El Salvador,7.81,7.83,7.79,7.77,7.77,9.92,1200,1500,1350
Ethiopia,7.98,8.11,7.97,8.09,8.04,9.86,1097.28,2200,1793.41
Guatemala,7.63,7.62,7.53,7.64,7.66,9.87,1066.8,1800,1448.33
Haiti,7.15,7,7.11,7.13,7.06,9.11,350,1400,883.36
Honduras,7.42,7.67,7.17,7.58,7.5,10,1500,1500,1500
Indonesia,7.67,7.56,7.41,7.48,7.51,9.96,1200,3500,1481.94
Japan,7.75,7.75,7.75,7.42,7.83,10,170,170,170
Kenya,7.78,7.79,7.71,7.84,7.8,9.97,1,2200,1502.35
Laos,7.42,7.5,7.25,7.33,7.5,10,1250,1250,1250
Malawi,7.57,7.39,7.26,7.41,7.37,10,990,2500,1403.55
Mauritius,7.25,7.25,7.17,7.17,7.17,10,280,280,280
Mexico,7.46,7.38,7.23,7.43,7.33,9.97,12,1800,1237.17
Myanmar,7.3,7.33,7.12,7.41,7.13,10,914.4,4287,2869.8
Panama,7.67,7.62,7.6,7.7,7.88,10,1100,1680,1515
Papua New Guinea,8.33,8.42,7.83,8.33,8.25,10,1700,1700,1700
Peru,7.54,7.46,7.25,7.46,7.66,9.33,900,1500,1300
Philippines,7.36,7.23,7.3,7.27,7.4,9.87,1000,1600,1280
Rwanda,7.83,7.92,7.75,7.83,7.75,9.33,1900,1900,1900
"Tanzania, United Republic Of",7.55,7.43,7.41,7.49,7.46,10,100,2285,1562.73
Thailand,7.45,7.51,7.44,7.61,7.48,10,800,1500,1094.99
Uganda,7.91,7.74,7.59,7.71,7.65,10,1400,1950,1689.29
United States,7.76,7.69,7.54,7.7,7.69,9.92,426.72,1706.88,919.62
Vietnam,7.48,7.48,7.3,7.44,7.55,10,1040,1550,1258.57
Zambia,7.67,7.08,7.42,7.33,7.42,10,1000,1500,1250
